step	x_best	y_best	cost_avg	cost_best
0	0.65832	4.23003	237.404	62.6989
1	1.89358	3.9739	187.713	12.506
2	1.89358	3.9739	157.6	12.506
3	1.89358	3.9739	133.753	12.506
4	2.52976	3.49202	121.46	7.00116
5	3.07219	3.10141	100.21	3.89725
6	3.07219	3.10141	108.823	3.89725
7	3.07219	3.10141	85.6018	3.89725
8	3.07219	3.10141	81.7199	3.89725
9	3.07219	3.10141	81.3572	3.89725
10	3.07219	3.10141	68.6233	3.89725
11	3.07219	3.10141	79.089	3.89725
12	3.07219	3.10141	89.8108	3.89725
13	3.07219	3.10141	54.8709	3.89725
14	3.07219	3.10141	43.1425	3.89725
15	3.07219	3.10141	19.8549	3.89725
