N	x	y	cost1	cost2
0	1.48093	5.75518	22.1169	20.2694
1	0.810025	5.85889	17.8962	21.416
2	1.13706	5.84884	19.8412	20.7447
3	1.54556	5.78562	22.571	20.2065
4	0.247998	5.68394	15.0535	23.0695
5	0.766653	5.7407	17.6544	21.5211
6	1.15344	5.85997	19.9442	20.7167
7	1.43732	5.8528	21.8152	20.3166
8	1.60317	5.84618	22.9828	20.1575
9	0.246735	5.68303	15.0478	23.0739
10	0.42878	5.76374	15.899	22.4687
11	0.72741	5.84184	17.4388	21.6195
12	1.06585	5.76696	19.3994	20.8726
13	1.29518	5.84761	20.8582	20.4968
14	1.46389	5.83239	21.9985	20.2874
15	1.60294	5.8827	22.9811	20.1577
16	0.24514	5.68212	15.0407	23.0795
17	0.389408	5.70814	15.7093	22.594
18	0.819468	5.80895	17.9494	21.3937
19	1.12898	5.8604	19.7905	20.7587
20	1.26098	5.76842	20.634	20.5461
21	1.59236	5.86631	22.905	20.1662
22	0.243046	5.66998	15.0313	23.0869
23	0.415938	5.87942	15.8368	22.5093
24	0.706589	5.8197	17.3256	21.6729
25	0.921341	5.8047	18.5342	21.1635
26	1.1781	5.83517	20.1003	20.6755
27	1.27995	5.83832	20.7581	20.5185
28	1.60044	5.91761	22.9632	20.1596
29	0.246255	5.73954	15.0457	23.0756
30	0.291182	5.80407	15.2495	22.9201
31	0.48188	5.72983	16.1597	22.3047
32	0.875672	5.8088	18.2695	21.2641
33	1.34001	5.82741	21.1556	20.4356
34	1.60092	5.9143	22.9666	20.1593
35	0.241147	5.59328	15.0227	23.0936
36	0.31444	5.77672	15.3566	22.8411
37	0.461439	5.71364	16.0587	22.3672
38	0.869847	5.78569	18.236	21.2772
39	1.23661	5.85587	20.4756	20.5828
40	1.5822	5.8667	22.8322	20.1746
41	0.290659	5.73738	15.2471	22.9218
42	0.443877	5.76181	15.9725	22.4215
43	0.89402	5.7924	18.3754	21.2232
44	1.00044	5.83553	19.0026	20.9991
45	1.24642	5.81897	20.5392	20.5679
46	0.270775	5.80048	15.1564	22.9902
47	0.471487	5.76763	16.1082	22.3364
48	0.897283	5.81432	18.3943	21.216
49	0.96915	5.86482	18.8159	21.0627
