node_id	pos_x	pos_y
1	34.7486	30.5245
2	25.883	17.7389
3	7.79066	38.5483
4	9.14411	37.0817
5	4.16756	9.59863
6	16.902	18.2754
7	36.7264	29.206
8	36.5992	23.5273
9	21.9434	9.6064
10	11.4545	34.2242
11	11.8812	22.7699
12	18.8889	37.5507
13	6.08038	30.7688
14	38.9395	3.58063
15	32.7233	39.2056
16	9.79498	27.4719
17	29.7302	35.678
18	5.21084	37.5208
19	34.2262	14.3549
20	34.6025	38.3938
21	23.9536	11.5046
22	16.6692	20.68
23	0.71059	13.2685
24	4.20725	22.654
25	22.8749	15.6618
26	16.8781	34.7561
27	38.4317	35.767
28	32.3067	4.5121
29	26.5357	31.2463
30	8.09273	19.259
31	30.4519	17.8877
32	6.73098	20.1821
33	13.5657	11.9418
34	17.7029	7.79194
35	26.2968	12.3054
36	6.18574	10.2503
37	23.81	22.855
38	30.9303	24.5206
39	36.1234	35.1376
40	7.17454	18.9983
